sample,fastq_1,fastq_2
SRR6706199,https://github.com/Popgen48/test-data/blob/main/fastqtobam/SRR6706199_n2500_1.fastq.gz,https://github.com/Popgen48/test-data/blob/main/fastqtobam/SRR6706199_n2500_2.fastq.gz
SRR6706202,https://github.com/Popgen48/test-data/blob/main/fastqtobam/SRR6706202_n2500_1.fastq.gz,https://github.com/Popgen48/test-data/blob/main/fastqtobam/SRR6706202_n2500_2.fastq.gz
